Date,Sample Name,Nucleic Acid(ng/uL),Nucleic Acid(ng/uL),Water addition ul,DNA Addition ul,Dillution Stages( If necessary),Total Volume uL,Target Concentration 10 ng/uL,A260/A280,A260/A230,A260,A280,Nucleic Acid Factor,Baseline Correction (nm),Baseline Absorbance, Corrected (ng/uL), Corrected %CV,Impurity 1,Impurity 1 A260,Impurity 1 %CV,Impurity 1 mM,Impurity 2,Impurity 2 A260,Impurity 2 %CV,Impurity 2 mM,Impurity 3,Impurity 3 A260,Impurity 3 %CV,Impurity 3 mM
7/19/2023 5:58,Sample 49 ,4.69,259.82,9.62,0.38,,10,10,1.583,0.35,5.196,3.282,50,340,2.496,,,,,,,,,,,,,,
7/19/2023 5:58,Sample 50 ,12.922,493.252,9.80,0.20,x,10,10,1.64,0.816,9.865,6.015,50,340,3.69,,,,,,,,,,,,,,
7/19/2023 5:59,Sample 51,9.771,424.732,9.76,0.24,x,10,10,1.637,0.716,8.495,5.189,50,340,3.068,,,,,,,,,,,,,,
7/19/2023 5:59,Sample 52,7.24,167.674,9.40,0.60,,10,10,1.638,0.583,3.353,2.047,50,340,1.304,,,,,,,,,,,,,,
7/19/2023 6:00,Sample 53,3.834,98.069,8.98,1.02,,10,10,1.511,0.52,1.961,1.298,50,340,1.314,,,,,,,,,,,,,,
7/19/2023 6:01,Sample 54 ,2.83,323.916,9.69,0.31,x,10,10,1.485,0.591,6.478,4.363,50,340,4.932,,,,,,,,,,,,,,
7/19/2023 6:01,Sample 55 ,5.166,385.424,9.74,0.26,,10,10,1.652,0.892,7.708,4.666,50,340,2.462,,,,,,,,,,,,,,
7/19/2023 6:02,Sample 56 ,8.572,268.252,9.63,0.37,,10,10,1.739,0.532,5.365,3.084,50,340,1.16,,,,,,,,,,,,,,
7/19/2023 6:02,Sample 57 ,6.069,132.086,9.24,0.76,,10,10,1.509,0.296,2.642,1.751,50,340,1.681,,,,,,,,,,,,,,
7/19/2023 6:03,Sample 58 ,6.5,153.497,9.35,0.65,,10,10,1.508,0.162,3.07,2.036,50,340,1.829,,,,,,,,,,,,,,
7/19/2023 6:04,Sample 59 ,3.649,541.262,9.82,0.18,x,10,10,1.61,0.914,10.825,6.724,50,340,5.631,,,,,,,,,,,,,,
7/19/2023 6:04,Sample 60 ,6.141,358.61,9.72,0.28,x,10,10,1.519,0.569,7.172,4.72,50,340,5.057,,,,,,,,,,,,,,
7/19/2023 6:05,Sample 61 ,7.271,314.94,9.68,0.32,x,10,10,1.668,0.828,6.299,3.777,50,340,2.211,,,,,,,,,,,,,,
7/19/2023 6:06,Sample 62 ,5.628,89.3,8.88,1.12,,10,10,1.579,0.393,1.786,1.131,50,340,0.861,,,,,,,,,,,,,,
7/19/2023 6:06,Sample 63 ,5.462,122.287,9.18,0.82,,10,10,1.508,0.514,2.446,1.622,50,340,1.504,,,,,,,,,,,,,,
7/19/2023 6:07,Sample 64 ,8.966,265.579,9.62,0.38,,10,10,1.689,0.647,5.312,3.145,50,340,1.515,,,,,,,,,,,,,,
7/19/2023 6:08,Sample 65 ,3.558,94.659,8.94,1.06,,10,10,1.499,0.202,1.893,1.263,50,340,1.281,,,,,,,,,,,,,,
7/19/2023 6:08,Sample 66 ,3.199,181.874,9.45,0.55,,10,10,1.498,0.443,3.637,2.428,50,340,2.654,,,,,,,,,,,,,,
7/19/2023 6:09,Sample 67 ,0.145,537.645,9.81,0.19,,10,10,1.379,0.548,10.753,7.8,50,340,11.106,,,,,,,,,,,,,,
7/19/2023 6:09,Sample 68 ,6.407,115.561,9.13,0.87,,10,10,1.545,0.474,2.311,1.496,50,340,1.302,,,,,,,,,,,,,,
7/19/2023 6:10,Sample 69 ,10.165,239.495,9.58,0.42,x,10,10,1.504,0.465,4.79,3.184,50,340,2.585,,,,,,,,,,,,,,
7/19/2023 6:11,Sample 70 ,6.657,254.219,9.61,0.39,,10,10,1.717,0.833,5.084,2.961,50,340,1.506,,,,,,,,,,,,,,
7/19/2023 6:11,Sample 71 ,21.296,375.57,9.73,0.27,x,10,10,1.667,0.935,7.511,4.506,50,340,2.421,,,,,,,,,,,,,,
7/19/2023 6:12,Sample 72 ,11.289,375.459,9.73,0.27,x,10,10,1.62,0.773,7.509,4.636,50,340,3.518,,,,,,,,,,,,,,
